State:,2009(b),2010(b),2011(b),2012(b),2013(b),2014(b),2015(b),2009(t),2010(t),2011(t),2012(t),2013(t),2014(t),2015(t),2009(lmv),2010(lmv),2011(lmv),2012(lmv),2013(lmv),2014(lmv),2015(lmv),2009(gcv),2010(gcv),2011(gcv),2012(gcv),2013(gcv),2014(gcv),2015(gcv),2009(tw),2010(tw),2011(tw),2012(tw),2013(tw),2014(tw),2015(tw),2009(cars),2010(cars),2011(cars),2012(cars),2013(cars),2014(cars),2015(cars),2009(j),2010(j),2011(j),2012(j),2013(j),2014(j),2015(j),2009(M),2010(M),2011(M),2012(M),2013(M),2014(M),2015(M)
 Rajasthan,69298,73257,77980,83345,88616,93892,97650,60941,67542,76317,89053,103690,114695,123275,103270,112986,123328,134345,145422,156669,167504,318118,346981,385796,431537,478379,467758,564152,4715835,5230454,5859719,6629743,7465863,8331142,9272233,402239,455924,520385,591069,659542,733916,814079,182922,203692,227910,254840,288056,319490,357188,636941,674826,714830,771546,842377,915858,982848
 Sikkim,294,524,586,613,633,236,272,7108,7569,8011,8816,9378,11708,12458,-,0,0,…,…,,,3505,4009,4370,4877,4404,4465,4735,5956,6308,6843,7447,3808,3037,3633,5704,8905,12264,13933,11879,12594,14300,4557,4869,5251,6086,6004,7281,7509,1427,1442,1458,1562,171,287,303
 Tamil Nadu ,114671,123999,134887,144251,156470,165176,171581,188795,209689,243425,278005,307079,329639,349029,215542,238682,291605,301982,319074,338533,361045,649136,685040,744663,821108,896985,924082,946232,10223233,11156048,12393788,13846378,15336823,16701588,18097975,1091231,1204156,1350722,1504735,1668913,1818284,1972354,57207,57417,58080,58718,59319,59709,60036,351182,386502,421075,457071,487398,526651,560417
Telangana,,,,,38245,40807,43422,,,,,65226,74097,82296,,,,,236625,264179,296524,,,,,289293,310928,328756,,,,,4701734,5225052,5815937,,,,,717431,796232,878981,,,,,14889,14989,15035,,,,,313034,346825,383762
 Tripura,2223,2194,2295,2312,2291,1920,2484,1380,3199,3468,3530,2286,11900,12076,16968,15749,18074,19203,23599,15732,18866,14343,16631,18502,19620,22012,16029,16772,85455,97895,117486,129343,158533,182809,200721,9996,10095,11224,12390,22033,17816,20760,4977,12340,14434,15542,11685,5530,5604,8511,2016,2190,2280,2483,4434,4851
Uttara Khand,4032,7527,8066,8504,8997,9962,10716,17058,18660,20896,25415,28536,32029,32830,12755,11622,13820,13004,14077,14420,16128,27807,34419,39169,50456,52098,58232,62789,570359,583927,708595,897651,1064349,1194941,1336114,98355,119859,147591,188152,227596,260649,294481,4385,8103,8876,9762,11300,11996,13333,52601,47254,50148,51098,53183,57689,60636
Uttar Pradesh,26331,28124,31922,34428,40501,45607,51866,34107,38629,47364,59379,89393,92399,98303,105096,123706,146351,175649,195194,220024,252552,240433,268617,307058,338977,400061,467786,511631,8521198,9493677,10563850,12410064,13724495,15395363,17398458,775569,873251,984937,1108100,1205374,1423020,1572217,135149,159128,176398,200316,228836,263727,491013,941202,1003217,1029352,1118361,1164330,1206766,1259490
West Bengal,35023,31996,34184,35603,51660,53899,56878,66240,73696,80012,84591,105542,115616,125162,42312,48370,58633,63424,78452,81914,84089,251120,222716,248776,281995$,436839,468719,495790,2017198,1864861,2260657,2717713,4257670,4754724,5280246,560875,435352,492454,575085,877588,938271,1001618,#,^,^,1913337,8851,9705,10276,70851,70147,85908,102330,294132,322156,349182
 A. & N. Islands,811,825,846,903,958,1007,1039,489,489,489,489,489,489,489,2884,2950,3248,3803,4107,4241,4406,2355,2366,2429,2484,2519,2564,2638,42386,43762,48819,54220,60354,66520,72800,8263,10988,12863,14632,16474,18314,20370,2235,^,…,^,^,^,^,306,394,406,532^,541,556,559
 Chandigarh,2375,3062,3684,5170,2265,2326,2561,2810,3017,3275,3491,3519,3683,3908,-,0,0,0,2664,2488,2659,11538,17676,24331,25704,27077,9416,10031,511568,686316,711007,737263,760327,368308,395565,218857,239014,265135,286584,310273,244504,261752,-,…,…,^,^,^,^,119,279,460,196#,224,0,0
 D. & N. Haveli ,278,295,314,321,352,678,714,133,142,146,151,154,157,165,579,605,620,632,647,650,654,10100,10809,11627,12315,13164,13748,14242,35059,38635,43010,48550,54244,60643,66874,17210,17507,19687,21762,24027,26050,28124,-,549,561,568,581,581,606,-,290,392,222,277,203,277
 Daman & Diu,451,461,474,512,543,551,566,44,45,46,49,55,65,66,1151,1173,1216,1230,1245,1263,1280,5907,6242,6920,7252,7575,5542,5897,42861,43991,47247,52339,56893,61089,64140,18297,19332,20501,22175,23810,25410,26961,447,477,499,542,575,575,610,580,621,673,757,810,830,859
 Delhi,41142,43250,45757,20142,19912,19590,19695,50351,55530,62839,62335,63082,55543,62405,179640,182784,190693,68653,11407,11307,11301,208294,226256,242331,129339,131715,142203,153406,3846721,4107912,4395086,4661714,4980507,5322128,5698242,1802251,1956574,2116107,2172069,2416974,2568380,2730071,78884,79418,79488,68648,67821,67359,67144,94884,95124,95370,167220,2018,456,598
 Lakshadweep,19,0,0,0,0,37,37,0,105,140,207,262,364,435,321,321,366,420,479,487,566,452,494,590,728,879,1190,1337,5639,6206,6888,7698,8561,10071,10943,48,64,87,122,165,148,180,94,95,99,121,149,126,132,662,570,583,601,610,601,601
Puducherry,2235,2373,2493,2596,3987,4098,4251,1847,1892,1943,1990,762,850,1060,5062,5124,5217,5221,6321,6382,6431,14660,15544,16643,18393,15228,15781,16113,434072,488490,553711,625251,600278,644651,689568,64631,69813,76678,85418,65016,70864,76547,3881,3881,3882,3882,1321,1321,1321,11860,12012,12236,12525,6701,6951,7290
